Topic,Count,Name,Representation,Aspect1,Representative_Docs
10,1,10_Solving Linear Equations,['Solving Linear Equations'],"['constraint', 'texture', 'constant brightness', 'wall', 'ey zero', 'derivatives', 'brightness', 'linearly', 'linear', 'ey']","[""If E-X and E-Y are zero, all hope is lost. Because that means you're looking at a wall that's, you know, constant brightness and you won't be able to see it moving because there's nothing on it to catch your attention and to track. If there was some texture on it, then E-X and E-Y would not be zero in some places. OK. And so this is sort of an approach we're going to use a lot. So we have this constraint which would apply in an ideal case where we know the answer U and V. And we're going to take contributions of that. And now we can't just add them because some of them might be positive and some might be negative. So it doesn't make sense to minimize the integral of them. We turn them into something that's always positive by squaring it. And so we're going to find these answers by minimizing that. Now, in this case, you know, this is pretty straightforward. We now take that. And this is a calculus problem. So this is a function of U and V. And we're going to set the derivatives with respect to U and V equal to zero. And in this case, we're lucky enough that the equations are linear. And we can solve it. And actually, the answer is very similar to this. We're going to end up with two equations and two unknowns, right? One equation from the derivative with respect to U is zero. And one with a derivative of V is zero. OK. And so two equations, two unknowns, cool. But that can fail, right? Because they might not actually be different equations. They might be linearly dependent. So we'd want to worry about that. And in this case, the failure mode is. That turns out to be the determinant of that 2 by 2 matrix. So that corresponds to this thing over here. And in this case, that's when things fail. So when can that happen? Well, certainly if E is zero or E is a constant, right? Because then EX and EY are zero.""]"
11,1,11_Isophotes and Gradients,['Isophotes and Gradients'],"['isophotes', 'ey zero', 'integral', 'ey', 'ex', 'draw', 'brightness', 'zero', 'constant', 'direction']","[""Or maybe if just EX is zero everywhere, right? Because then this integral is zero. And that integral is zero. So let's see. So if EX is zero and EY is not zero, what is that? Well, that means that I have one of those pictures that only varies in one direction. EX is zero, meaning it's constant in the horizontal direction. EY is non-zero. It's varying in brightness in the vertical direction. And if I were to draw isophotes, they'd look like this, right? So here, EX is zero.""]"
12,1,12_Image Coordinate Rotation,['Image Coordinate Rotation'],"['brightness gradient', 'brightness', 'rotation', 'coordinate', 'angle', 'isophotes', 'gradient', 'isophote', 'axis', '45 degrees']","[""And actually, that integral is the same also. So we're going to get integral EX squared, all squared, minus this thing all squared, zero. So that's bad. So what is that? Well, that's where isophotes are running at 45 degrees, right? Because the brightness gradient has the same x component as y component. The brightness gradient is perpendicular to the isophote. And so EXEY means it's a 45 degree angle for the gradient. So the isophotes are 45 degrees down. So that's the picture for that. And of course, that is really the same thing as that, just rotated. And one of the things we're going to do is say that, well, something shouldn't depend on our choice of x and y in the image coordinate system. I mean, the answer would be different. But in the new coordinate system, it should mean the same thing. So in this case, I shouldn't get some result that's particular to the x or y-axis. It should just give me the same result if I rotate. So that's a 45 degree rotation.""]"
13,1,13_Mathematical Transformations,['Mathematical Transformations'],"['rotation', 'integral', 'ey ex', 'ey', 'angle', 'tangent', 'ex', 'squared', 'constant', 'll']","[""I can get any rotation by doing something like that, right? Because then EY over EX is some constant. And that's the tangent of the angle of rotation or something like that. Plug that in here. And of course, you'll see that you get k squared times the integral over here.""]"
14,1,14_Isophote Analysis Concepts,['Isophote Analysis Concepts'],"['isophotes', 'isophote', 'curvature', 'brightness gradients', 'squared', 'angle', 'parallel lines', 'parallel', 'tangent', 'gradients']","[""And the k squared appears over there. They cancel each other out. So this is actually the most general case. All of these others are just special cases of that one. So that summarizes all of the cases we found. They're all with isophotes at some angle, parallel lines. And then the important question is, is that it? And it turns out, yes, that's it. And it's not easy to prove. You need to at least use the triangle inequality or something profound like that. So it's actually not that hard. But I think it's not really useful to go there. Anyway, so when can we do it? Well, as soon as there's curvature in the isophotes. Because if the isophote looks like this, if I move it sort of tangent to the isophote, there are still changes. So the only problem is where the isophotes are all parallel straight lines. And in another way of thinking about it, if you have areas in the image where there's a, quote, corner, something where the isophote makes a sharp turn. So here are the brightness gradients.""]"
15,1,15_Image Gradient Analysis,['Image Gradient Analysis'],"['brightness gradients', 'brightness', 'gradients', 'areas image', 'areas', 'curvature', 'places', 'area', 'purposes', 'image']","[""If there's some small area where the directions of the brightness gradients change a lot, that's good. Because what we're worried about is that the brightness gradients are all parallel to each other. That's the bad situation. And so for many purposes, like image alignment and recognition, we look for places that are, quote, interesting. And one interesting way is to look at the isophote curvature or equivalently the rapid turning of the brightness gradients. Because in other areas of the image, there's less constraint.""]"
16,1,16_Image Noise Analysis,['Image Noise Analysis'],"['gradient', 'pixels', 'brightness gradient', 'image looks', 'noisy', 'noise', 'image', 'constraint', 'brightness', 'bits']","[""If I have a part of the image that looks like this, on its own, it doesn't provide enough constraint. Now, if next to it is another area of the image where things look like this, if I have both of these, then that's fine. But if everything has the same gradient direction, that's not satisfactory. OK. OK, so homework problem, theoretically due on Thursday. And I know we haven't done a whole lot on this. So if you have problems with it, send me an email. And I may say something that doesn't give away the answer but helps you. And we'll go from there. What we're going to do next is talk a little bit about this concept of noise gain. So the idea is that all this time in the back, we've been thinking about, oh, we only have pixels with eight bits. And they're noisy. And our calculations are going to be flaky unless this determinant is large. large, and so on. So there's a lot of attention to not just a formula for computing the answer, but making sure that the answer is actually meaningful, as opposed to you've taken two noisy numbers and divided them by each other, and the result is not very predictable. So in noise gain, that's a very precise way of talking about it, which is saying, if I make this much of a change in the image, what is the change in the result? So in this case, I'm trying to get the velocity of motion. How much is the velocity of motion going to change if I change the brightness gradient somewhere? I have the wrong measurement. It's slightly off. And of course, we want that to be not sensitive.""]"
17,1,17_Image Motion Analysis,['Image Motion Analysis'],"['brightness gradient', 'image motion', 'gradient', 'motion image', 'constant brightness', 'curves', 'curve', 'derivatives', 'brightness assumption', 'derivative']","[""We're just taking the derivatives in those three directions, whereas we could be doing something more complicated, so let's think about that. So suppose that, you know, this video is from me moving through an environment, and there's some object in the environment that I'm tracking, and at time t zero, you know, it's there in the image, and then in the next frame, it's over here, and so on. So it follows some sort of path in this three-dimensional volume, and, you know, I could do this for other points and develop this whole set of curves, but let's just focus on one. Now, one of the things I might want to do is see how this changes. So when I'm looking at different frames of an image, often what I want to do is not take the derivative at a pixel and see how it changes to the next time frame, but I want to follow an object and see how it changes, and in many cases, I'm going to make the constant brightness assumption that it's not changing in brightness, and so I would like to express some constraint on the derivative along this curve, and so I could have a curve. How do I define that? Well, one way is to give x and y as a function of t. So this green curve, for each time t, I can give an x and a y. That's how I define that curve. And then what I'd like to do is look at, for example, the total derivative along that curve, keeping in mind that along that curve, not only is t changing, but x and y are changing in some defined way. So this is the total derivative, and in what we're going to be doing, we'll set that to zero because we're assuming that this point maintains its brightness. And then I can use the chain rule to split this up. So I'm going to get dx dt times dE dx plus. So I can take this total derivative and express it in terms of partial derivatives. And again, that looks kind of intimidating, but I can easily rewrite this. So that's equivalent to what we had for 1D motion. So this is showing a relationship between the brightness gradient and the image motion. And if I know the image motion and I know the image, I can predict how it's going to change. It's very simple. I just use this formula. And what we're more interested in doing is we've got images, image sequences, and we want to find u and v. So that's where we're going. Now, over here, we could just solve for u because we have a single equation in a single unknown. And that's another thing we're going to do a lot is equation counting. How many degrees of freedom? How many numbers are there that we don't know? And how many constraints do we have?""]"
18,1,18_Understanding Partial Derivatives,['Understanding Partial Derivatives'],"['brightness', 'pixels direction', 'pixels', '2d', 'frames', 'volume', 'partial derivatives', 'axis', 'derivatives', 'image']","[""So let's extend this analysis to 2D and see what happens. Now, some of this may seem tedious and repetitive to some of you, but we're all on different wavelengths. So I'm going to get the next result in several different ways. And different approaches may appeal to different people. So let me do it this way. So let's start by talking about the image volume. So, think about, you know, video, and we're stitching together the frames, so each of these cross sections is a frame, and we end up with this three-dimensional thing, which is, you know, brightness as a function of x, y, and t. And typically, in practice, we slice it across this way, but we could slice this volume any way you like, and in some cases, there are advantages to slicing it in different ways. Okay, so that's part one, and sometimes it's useful to visualize things this way. Then we're going to be using partial derivatives, so what are they? Well, it's just the derivatives in the axis direction here, so we'll be dealing with, you know, dE dx, dE dy, and dE dt. And just as we've been discussing, we approximate them by taking differences, first differences of neighboring pixels in either the x, the y, or the t direction from frame to frame, so you know, that's all that is. Okay, so what's, you know, some people find partial derivatives a little bit more scary than ordinary derivatives, but that's all it is.""]"
19,1,19_Statistical Image Processing,['Statistical Image Processing'],"['pixels calculation', 'pixels', 'use pixels', 'pixel', 'statistics', 'average', 'images', 'measurements', 'calculation', 'improve']","[""Then we use those two pixels to do the calculation. And so we add them up. So we have a lot of noisy measurements. And we take the average. And magically, things improve. And so just without going into hairy statistics or assumptions about probability distributions, roughly speaking, when you average n values, you reduce the standard deviation by the square root of n. And when you have these political surveys and they say they have a 5% margin of error, what they mean is that they talk to 400 people, right? Because square root of 400 is 20. 1 over 20 is 0.05. So same principle. So it doesn't improve linearly with n, unfortunately. That would be even better. But it does improve with the square root of n. So if we have a million pixel image, it improves by a factor of 1,000, which is pretty significant. OK, now if we just did this in this simple way, we'd still run into trouble. First of all, if e x is really 0, you'd be dividing by 0. So you can't do that. I guess you could leave those pixels out. And then if e x is small, you still have an answer which is relatively bad. So there are places where the slope is large, where you get good information. And now you're polluting it by adding in as an equal information from places where the slope is low. And that's why in the homework problem, we talk about weighting. So don't just take an average and treat each of them equally, but multiply by some weight factor. And then, of course, what happens to the 1 over n? Well, you have to compensate for the fact that you've now switched to using weights. OK, as we mentioned, images are really 2D.""]"
20,1,20_Vector Mathematics Concepts,['Vector Mathematics Concepts'],"['cross product', 'product cross', 'vector', 'cross', 'vectors', 'flow', 'image motion', 'equations', 'motion', 'perpendicular']","[""I mean, if we just write out the components of that equation, we get what we had before. Then I just want to do one more little trick, which is in the appendix of the book, we have some useful information about the time So in the appendix of the book, we have some useful results about all sorts of simple math that's needed, one of which has to do with vector equations and with manipulating cross products of cross products, that kind of thing, which I typically don't remember how to do. So I'll go to the appendix of the book. And the appendix is under materials on the Stellar website. OK, so let me first transform this one more time. So we've got OK, that's just rewriting this. And now we use a result. And the reason we do this is because it allows us to make some general statements about the flow. OK, so cross product of cross products can be expressed as the difference of dot products. Now you can match up these two lines. And you can see where we're going with this, which is OK, so finally there we have the image motion expressed in terms of a world motion. using this somewhat odd-looking expression. So why is this of interest? Well, the first thing you can say is that the result is perpendicular to z. Because if you take the cross product of two vectors, the result is perpendicular to both of the vectors. So r dot equals 0, r dot z equals 0. So is that surprising, that the image motion is perpendicular to the z-axis?""]"
21,1,21_Motion and Expansion,['Motion and Expansion'],"['focus expansion', 'image plane', 'image motion', 'expansion moving', 'focus', 'inverting', 'motions', 'expansion', 'motion', 'image']","[""Okay, that's a useful thing, because if you can find the focus of expansion, all you need to do is connect that point x naught, y naught to the origin, and you have a vector that tells you the direction of motion. So a nice example of inverting that process. Okay, now once we have the focus of expansion, we can rewrite those equations yet one more time. And so there are a couple of things there that are of interest. One of them is that the f's cancel, so we can do that. And then we actually can get an idea of what the image is going to look like. So let's suppose this is the image plane. Now we're looking at it straight on. And suppose that this is our focus of expansion. And we're moving with respect to, the environment is moving with respect to us, so we're moving with respect to the environment. Einstein said that it's all relative, it doesn't matter. The only thing we can determine is the difference in the two motions. Then there will be no image motion here, and what about other places? Well, this tells you exactly what the pattern will be like, right? So if we go to the right, such that x naught minus x is positive, while we keep this one zero, what happens is, well, u will become larger. The further we go away, the larger.""]"
22,1,22_Vector Motion Diagrams,['Vector Motion Diagrams'],"['image motion', 'vector diagram', 'motion point', 'vectors point', 'vector', 'vectors', 'motion', 'vector tells', 'little vector', 'direction']","[""So if we go to the left, the larger. So we'll have a little vector here that tells us the image motion at that point, and another vector over here, which is perhaps larger. And then we can go to where this is negative. So the other side, draw a vector here. Okay. So I'm starting to draw a little vector diagram of the motion field, if you like, how things are expanding from that point. And I can do the same in the y direction. So suppose I keep x naught equals x, but I change y naught. So I'm going along this line. I'm going to get vectors that point this way.""]"
23,1,23_Vector Diagrams Explanation,['Vector Diagrams Explanation'],"['focus expansion', 'perspective projection', 'expansion moving', 'projection', 'focus', 'expansion', 'perspective', 'vectors point', 'angle', 'distances']","[""I'm going to get vectors that point this way. And let me be adventurous and go off at right angles where x naught minus x is the same as y naught minus y. Well, that means that u and v are going to be the same. That means I'm going to get a vector at 45 degrees, right? And opposite direction like that. And I think you can see that we're going to fill in this whole diagram, this little vector diagram with arrows that are pointing outwards from the focus of expansion. That's what this equation says, that all these vectors are radiating outward. And that's why it's called the focus of expansion. So I'm moving towards that wall, and this is the place I'm actually going to hit. I may be going at an angle, but my whole image is looming. It's zooming outwards, which is a useful clue, a useful cue for measuring distance and velocity. Well, as you saw in the homework problem, there's this scale factor ambiguity that because of perspective projection, we can't actually tell absolute distances. And we have a similar phenomena here. But what we can tell is this ratio.""]"
24,1,24_Vector Transformation Concepts,['Vector Transformation Concepts'],"['focus expansion', 'surface', 'focus', 'field', 'term', 'inverse', 'ratio', 'image', 'moving', 'expansion']","[""So this whole field depends critically on that ratio. So what is that? W over z. And if I make that larger, then the vectors will be larger. That means I'm sort of getting closer to the surface I'm about to hit it. Conversely, if I make it smaller, that will be smaller. If I make it negative, what happens? Well, all of these vectors are reversed. So it's a focus of compression. There's no such term, but we could call it that. It's just the inverse of the focus of expansion. And that's what happens if I'm moving away from the surface. I'm taking off from the lunar surface, and the image is sort of compressing as I leave. OK, well, so what is this? Well, let's turn it on its head. What is z over w?""]"
25,1,25_Calculus in Physics,['Calculus in Physics'],"['rate change', 'rate', 'dt', 'surface', 'useful information', 'quantity', 'ratio', 'derivative', 'useful', 'imaging']","[""And w, of course, is the rate of change of z. So we've got z over dz dt. What are the units of that? So z is in, say, meters. And dz dt is in meters per second. So the units of that ratio are seconds. And so can you think of what that quantity is? Sorry? Time to impact. Great. So that's going to tell me how long it's going to take before I crash into the surface. And so that's a quantity that we're going to spend some time thinking about, both because it's important if you're, say, landing NASA craft on Europa, or if you're a fly landing on the ceiling. And also, it turns out to be relatively easy to compute compared to some of the other things that we'll be looking at. By the way, the landing on Europa is a JPL RFP. They wanted to have industry give them ideas of how they're going to do that and how much it's going to cost. And well, we told them that this is the right way to do it, and we never heard from them again. So I don't know. So if that craft crashes on Europa, don't blame me. I told them what to do. OK, so this is beginning to look kind of promising, because we can actually see a way to inverting this imaging process and getting some useful information just from the way the brightness pattern in the image changes. But I need to torture you a little bit more and do this in vector form. And we'll see later why this is useful. Right now, it's not saving us a whole lot in terms of writing, going from the component form to the vector form. But we'll see that it does eventually. OK, so instead of differentiating the component versions, we're going to now differentiate the vector form. And of course, it's very similar. So what's the time derivative of a vector?""]"
26,1,26_3D Motion Analysis,['3D Motion Analysis'],"['means vector', 'dot', 'vector', 'motion', 'differentiation', 'ratio', 'notation', 'distances', 'ok dot', 'expansion']","[""Well, it's just the vector where you've differentiated each of the components with respect to time. So it's nothing very fancy. So we have that term again that corresponds to this first part here. But because it's a ratio, and because R can be changing, big R can be changing, we need to take account of the fact that it's a ratio. And we get. And OK, so to make it look slightly less intimidating, we'll switch from Leibniz to a Newtonian notation. Again, the underline always means that it's a vector. And I'm splitting this up a bit. OK, so the dot here denotes differentiation with respect to time. And so we have two terms, one of which is sort of obvious scaling, that there's a certain motion in 3D, and it's going to be magnified or demagnified by the ratio of these two distances. So there's a big motion out here. It's a smaller motion in there by the ratio of those. But then there's this other term that corresponds to motion in depth that we have to take into account. And I rewrote it this way because, again, we can make use of the fact that we have this perspective projection equation. And so we can introduce the image coordinates. So focus of expansion, again, would be where r dot is 0. And so that corresponds to z. Let me put the 1 over f on the other side. That's easier. And so we basically get the same equation.""]"
27,1,27_Image Motion Analysis,['Image Motion Analysis'],"['image motion', 'image 2d', 'motions', 'motion', 'axis', 'velocity', 'problem image', '2d', 'velocities', 'image']","[""So image motions in that plane, z-axis is there. Now, of course, it's obvious. I mean, it couldn't be any other way. If we got it, this is a good way to check the result. If we got anything else, there'd be a problem. So in the image, we only have 2D. We have x, y. And we have, as velocities, u and v. We don't have a velocity in the z direction that would be popping out of the image. So that's interesting. And then something else we can look at is what if the image motion is radially outward or inward?""]"
28,1,28_Discrete Calculations Overview,['Discrete Calculations Overview'],"['pixels calculation', 'pixels', 'use pixels', 'discrete world', 'approximate', 'continuous world', 'calculation', 'discrete', 'forth continuous', 'continuous']","[""And the reason we can do it is because we got lots of them. So we talked about how to approximate, how to switch back and forth between the continuous world and the approximate discrete world. And now, I don't want to give away the solution to the homework problem. But the next step, I guess, would be to get a bunch of these and combine them. So we might do something like this. If we have n pixels, then we might try something like this. So now, instead of just using two pixels, we use those two pixels to do the calculation. Then we use these two pixels to do the calculation.""]"
